,duration_ms,explicit,external_ids,external_urls,href,id,name,popularity,preview_url,track_number,type,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url,time_signature,ï»¿name,artists,album,release_date
0,194551.0,False,{'isrc': 'INS181904296'},{'spotify': 'https://open.spotify.com/track/499rs8fMaltXk2BOlq9P0m'},https://api.spotify.com/v1/tracks/499rs8fMaltXk2BOlq9P0m,499rs8fMaltXk2BOlq9P0m,"Ye Chota Nuvvunna (From ""Saaho"") (feat. Tulsi Kumar, Haricharan Seshadri)",54.0,https://p.scdn.co/mp3-preview/9104d3195c268999f136a676b4c6b4e6a3884c62?cid=fcec7bdbea3d438f9a0b9158e82b057f,1.0,track,spotify:track:499rs8fMaltXk2BOlq9P0m,0.725,0.675,8.0,-6.225,0.0,0.0444,0.116,4.39e-05,0.099,0.641,92.017,https://api.spotify.com/v1/tracks/499rs8fMaltXk2BOlq9P0m,https://api.spotify.com/v1/audio-analysis/499rs8fMaltXk2BOlq9P0m,4.0,"Ye Chota Nuvvunna (From ""Saaho"") (feat. Tulsi Kumar, Haricharan Seshadri)","Guru Randhawa, Tulsi Kumar, Haricharan","Ye Chota Nuvvunna (From ""Saaho"")",2019-08-02
1,360000.0,False,{'isrc': 'INA091213380'},{'spotify': 'https://open.spotify.com/track/2FPYJZygSLhD9RdPvEnBha'},https://api.spotify.com/v1/tracks/2FPYJZygSLhD9RdPvEnBha,2FPYJZygSLhD9RdPvEnBha,Nee Choopule,52.0,https://p.scdn.co/mp3-preview/91935929356527560858e8ede3684650212ffc1e?cid=fcec7bdbea3d438f9a0b9158e82b057f,2.0,track,spotify:track:2FPYJZygSLhD9RdPvEnBha,0.573,0.35,2.0,-8.126,1.0,0.026,0.262,1.75e-05,0.0976,0.0386,90.925,https://api.spotify.com/v1/tracks/2FPYJZygSLhD9RdPvEnBha,https://api.spotify.com/v1/audio-analysis/2FPYJZygSLhD9RdPvEnBha,4.0,Nee Choopule,"Haricharan, K. S. Chithra",Endukante Premanta,2012-04-29
2,269289.0,False,{'isrc': 'INS181602173'},{'spotify': 'https://open.spotify.com/track/37qEgpLxOJN2jpxo2yEl64'},https://api.spotify.com/v1/tracks/37qEgpLxOJN2jpxo2yEl64,37qEgpLxOJN2jpxo2yEl64,Sundari,39.0,https://p.scdn.co/mp3-preview/9ce15670948694e0ca1ae881998b5138b92f673e?cid=fcec7bdbea3d438f9a0b9158e82b057f,2.0,track,spotify:track:37qEgpLxOJN2jpxo2yEl64,0.866,0.86,0.0,-3.662,1.0,0.0552,0.185,8.57e-05,0.0629,0.899,101.982,https://api.spotify.com/v1/tracks/37qEgpLxOJN2jpxo2yEl64,https://api.spotify.com/v1/audio-analysis/37qEgpLxOJN2jpxo2yEl64,4.0,Sundari,Jaspreet Jasz,Khaidi No 150,2017-01-05
3,229320.0,False,{'isrc': 'INS181602189'},{'spotify': 'https://open.spotify.com/track/008lRa3qOTxsZE3UeKW8yp'},https://api.spotify.com/v1/tracks/008lRa3qOTxsZE3UeKW8yp,008lRa3qOTxsZE3UeKW8yp,You & Me,46.0,https://p.scdn.co/mp3-preview/bd03c1f44e60ccfc767731b0b5e77e4d62275d50?cid=fcec7bdbea3d438f9a0b9158e82b057f,3.0,track,spotify:track:008lRa3qOTxsZE3UeKW8yp,0.84,0.715,9.0,-4.307,0.0,0.0836,0.2,0.0145,0.103,0.736,118.988,https://api.spotify.com/v1/tracks/008lRa3qOTxsZE3UeKW8yp,https://api.spotify.com/v1/audio-analysis/008lRa3qOTxsZE3UeKW8yp,4.0,You & Me,"Hariharan, Shreya Ghoshal",Khaidi No 150,2017-01-05
4,323440.0,False,{'isrc': 'INS170900195'},{'spotify': 'https://open.spotify.com/track/6lINfLttHSl6Q0uGyCFVsw'},https://api.spotify.com/v1/tracks/6lINfLttHSl6Q0uGyCFVsw,6lINfLttHSl6Q0uGyCFVsw,Allegro,44.0,https://p.scdn.co/mp3-preview/2be408aa86ad9b30f3066c4279f1544474e8917c?cid=fcec7bdbea3d438f9a0b9158e82b057f,5.0,track,spotify:track:6lINfLttHSl6Q0uGyCFVsw,0.776,0.804,2.0,-3.274,0.0,0.11,0.0526,0.0131,0.0707,0.76,105.051,https://api.spotify.com/v1/tracks/6lINfLttHSl6Q0uGyCFVsw,https://api.spotify.com/v1/audio-analysis/6lINfLttHSl6Q0uGyCFVsw,4.0,Allegro,"Devi Sri Prasad, Rita",Kanthaswamy (Original Motion Picture Soundtrack),2009-05-07
5,346813.0,False,{'isrc': 'INS170900191'},{'spotify': 'https://open.spotify.com/track/4lGIy8N9aPgfUf04oFH2GS'},https://api.spotify.com/v1/tracks/4lGIy8N9aPgfUf04oFH2GS,4lGIy8N9aPgfUf04oFH2GS,Excuse Me,51.0,https://p.scdn.co/mp3-preview/a457200a24cc8b36d46f3102c23150d3ecb35158?cid=fcec7bdbea3d438f9a0b9158e82b057f,1.0,track,spotify:track:4lGIy8N9aPgfUf04oFH2GS,0.86,0.811,11.0,-4.119,1.0,0.288,0.0808,1.24e-05,0.0431,0.783,88.011,https://api.spotify.com/v1/tracks/4lGIy8N9aPgfUf04oFH2GS,https://api.spotify.com/v1/audio-analysis/4lGIy8N9aPgfUf04oFH2GS,4.0,Excuse Me,"Devi Sri Prasad, Vikram, Suchitra",Kanthaswamy (Original Motion Picture Soundtrack),2009-05-07
6,293750.0,False,{'isrc': 'INA091715616'},{'spotify': 'https://open.spotify.com/track/2zpzbfEexXPmymYNWU1Bha'},https://api.spotify.com/v1/tracks/2zpzbfEexXPmymYNWU1Bha,2zpzbfEexXPmymYNWU1Bha,Yevevo,46.0,https://p.scdn.co/mp3-preview/e1c9e7f2b4b7e57f47bb7bbd6d697e0b9155fe8f?cid=fcec7bdbea3d438f9a0b9158e82b057f,5.0,track,spotify:track:2zpzbfEexXPmymYNWU1Bha,0.621,0.328,9.0,-9.358,0.0,0.0302,0.752,0.0,0.211,0.405,114.967,https://api.spotify.com/v1/tracks/2zpzbfEexXPmymYNWU1Bha,https://api.spotify.com/v1/audio-analysis/2zpzbfEexXPmymYNWU1Bha,4.0,Yevevo,"Akhil Akkineni, Jonita Gandhi",Hello!,2017-12-06
7,205759.0,False,{'isrc': 'INS171500439'},{'spotify': 'https://open.spotify.com/track/4mOmWSdTmf6fSAibGWCKp7'},https://api.spotify.com/v1/tracks/4mOmWSdTmf6fSAibGWCKp7,4mOmWSdTmf6fSAibGWCKp7,Mental Manadhil,63.0,https://p.scdn.co/mp3-preview/205e42c3ca59b11603e1dfc89e4215f80b40ca59?cid=fcec7bdbea3d438f9a0b9158e82b057f,4.0,track,spotify:track:4mOmWSdTmf6fSAibGWCKp7,0.568,0.886,6.0,-7.983,0.0,0.081,0.0123,3.4e-05,0.361,0.846,160.054,https://api.spotify.com/v1/tracks/4mOmWSdTmf6fSAibGWCKp7,https://api.spotify.com/v1/audio-analysis/4mOmWSdTmf6fSAibGWCKp7,4.0,Mental Manadhil,"A.R. Rahman, Jonita Gandhi",O Kadhal Kanmani (Original Motion Picture Soundtrack),2015-04-07
8,197000.0,False,{'isrc': 'INS171903307'},{'spotify': 'https://open.spotify.com/track/0VhKdIMXZ3INkyDoIyPy5l'},https://api.spotify.com/v1/tracks/0VhKdIMXZ3INkyDoIyPy5l,0VhKdIMXZ3INkyDoIyPy5l,"The Naari Naari Song (From ""Made in China"")",50.0,https://p.scdn.co/mp3-preview/43fe8cd7fe4cec66f0ae0a2dbe4b90f8896efcfa?cid=fcec7bdbea3d438f9a0b9158e82b057f,1.0,track,spotify:track:0VhKdIMXZ3INkyDoIyPy5l,0.704,0.933,1.0,-4.165,1.0,0.043,0.039,0.0,0.582,0.595,119.984,https://api.spotify.com/v1/tracks/0VhKdIMXZ3INkyDoIyPy5l,https://api.spotify.com/v1/audio-analysis/0VhKdIMXZ3INkyDoIyPy5l,4.0,"The Naari Naari Song (From ""Made in China"")","Sachin-Jigar, Vishal Dadlani, Jonita Gandhi","The Naari Naari Song (From ""Made in China"")",2019-10-09
9,275955.0,False,{'isrc': 'INS171702332'},{'spotify': 'https://open.spotify.com/track/1L5jOr4vqumGibHTQtVwWq'},https://api.spotify.com/v1/tracks/1L5jOr4vqumGibHTQtVwWq,1L5jOr4vqumGibHTQtVwWq,Maacho,53.0,https://p.scdn.co/mp3-preview/cd2a2bb4f49485b4fcb6cc86764e25104ebfec73?cid=fcec7bdbea3d438f9a0b9158e82b057f,1.0,track,spotify:track:1L5jOr4vqumGibHTQtVwWq,0.821,0.55,7.0,-7.504,1.0,0.0675,0.0134,0.000801,0.122,0.737,128.052,https://api.spotify.com/v1/tracks/1L5jOr4vqumGibHTQtVwWq,https://api.spotify.com/v1/audio-analysis/1L5jOr4vqumGibHTQtVwWq,4.0,Maacho,"A.R. Rahman, Sid Sriram, Shweta Mohan",Mersal (Original Motion Picture Soundtrack),2017-08-20
10,211332.0,False,{'isrc': 'INA092117736'},{'spotify': 'https://open.spotify.com/track/2ZsCyXSXq6MzF8ErgKsY52'},https://api.spotify.com/v1/tracks/2ZsCyXSXq6MzF8ErgKsY52,2ZsCyXSXq6MzF8ErgKsY52,Manasulone Nilichipoke,46.0,https://p.scdn.co/mp3-preview/c00b96f0cec9bcfb0baeeacbf478b56a0854a377?cid=fcec7bdbea3d438f9a0b9158e82b057f,3.0,track,spotify:track:2ZsCyXSXq6MzF8ErgKsY52,0.683,0.508,8.0,-9.986,1.0,0.0465,0.803,0.00228,0.13,0.608,134.928,https://api.spotify.com/v1/tracks/2ZsCyXSXq6MzF8ErgKsY52,https://api.spotify.com/v1/audio-analysis/2ZsCyXSXq6MzF8ErgKsY52,3.0,Manasulone Nilichipoke,Chinmayi,Varudu Kaavalenu,2021-10-25
11,202000.0,False,{'isrc': 'INA092217979'},{'spotify': 'https://open.spotify.com/track/7ox1JFNmfgRtUBY1kx2aIj'},https://api.spotify.com/v1/tracks/7ox1JFNmfgRtUBY1kx2aIj,7ox1JFNmfgRtUBY1kx2aIj,Pataas Pilla,62.0,https://p.scdn.co/mp3-preview/a1c67b66b15bb1b7e81b3cd8b85d8b081d9ae6ae?cid=fcec7bdbea3d438f9a0b9158e82b057f,1.0,track,spotify:track:7ox1JFNmfgRtUBY1kx2aIj,0.754,0.545,7.0,-11.195,1.0,0.226,0.275,0.0,0.0792,0.544,150.024,https://api.spotify.com/v1/tracks/7ox1JFNmfgRtUBY1kx2aIj,https://api.spotify.com/v1/audio-analysis/7ox1JFNmfgRtUBY1kx2aIj,3.0,Pataas Pilla,"Sricharan Pakala, Anirudh Ravichander",DJ Tillu,2022-01-24
12,256576.0,False,{'isrc': 'INS172000810'},{'spotify': 'https://open.spotify.com/track/66N9OkT3uarJxuzD7iU4BP'},https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,66N9OkT3uarJxuzD7iU4BP,Quit Pannuda,53.0,https://p.scdn.co/mp3-preview/e29b2f2ca8f362a1d5b242be83addb7fa31edc9e?cid=fcec7bdbea3d438f9a0b9158e82b057f,4.0,track,spotify:track:66N9OkT3uarJxuzD7iU4BP,0.51,0.797,6.0,-5.279,0.0,0.234,0.179,0.0,0.443,0.499,76.965,https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,https://api.spotify.com/v1/audio-analysis/66N9OkT3uarJxuzD7iU4BP,4.0,Quit Pannuda,Anirudh Ravichander,Master (Original Motion Picture Soundtrack),2020-03-16
13,256576.0,False,{'isrc': 'INS172000810'},{'spotify': 'https://open.spotify.com/track/66N9OkT3uarJxuzD7iU4BP'},https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,66N9OkT3uarJxuzD7iU4BP,Quit Pannuda,53.0,https://p.scdn.co/mp3-preview/e29b2f2ca8f362a1d5b242be83addb7fa31edc9e?cid=fcec7bdbea3d438f9a0b9158e82b057f,4.0,track,spotify:track:66N9OkT3uarJxuzD7iU4BP,0.51,0.797,6.0,-5.279,0.0,0.234,0.179,0.0,0.443,0.499,76.965,https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,https://api.spotify.com/v1/audio-analysis/66N9OkT3uarJxuzD7iU4BP,4.0,Quit Pannuda,Anirudh Ravichander,Master (Original Motion Picture Soundtrack),2020-03-16
14,256576.0,False,{'isrc': 'INS172000810'},{'spotify': 'https://open.spotify.com/track/66N9OkT3uarJxuzD7iU4BP'},https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,66N9OkT3uarJxuzD7iU4BP,Quit Pannuda,53.0,https://p.scdn.co/mp3-preview/e29b2f2ca8f362a1d5b242be83addb7fa31edc9e?cid=fcec7bdbea3d438f9a0b9158e82b057f,4.0,track,spotify:track:66N9OkT3uarJxuzD7iU4BP,0.51,0.797,6.0,-5.279,0.0,0.234,0.179,0.0,0.443,0.499,76.965,https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,https://api.spotify.com/v1/audio-analysis/66N9OkT3uarJxuzD7iU4BP,4.0,Quit Pannuda,Anirudh Ravichander,Master (Original Motion Picture Soundtrack),2020-03-16
15,256576.0,False,{'isrc': 'INS172000810'},{'spotify': 'https://open.spotify.com/track/66N9OkT3uarJxuzD7iU4BP'},https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,66N9OkT3uarJxuzD7iU4BP,Quit Pannuda,53.0,https://p.scdn.co/mp3-preview/e29b2f2ca8f362a1d5b242be83addb7fa31edc9e?cid=fcec7bdbea3d438f9a0b9158e82b057f,4.0,track,spotify:track:66N9OkT3uarJxuzD7iU4BP,0.51,0.797,6.0,-5.279,0.0,0.234,0.179,0.0,0.443,0.499,76.965,https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,https://api.spotify.com/v1/audio-analysis/66N9OkT3uarJxuzD7iU4BP,4.0,Quit Pannuda,Anirudh Ravichander,Master (Original Motion Picture Soundtrack),2020-03-16
16,256576.0,False,{'isrc': 'INS172000810'},{'spotify': 'https://open.spotify.com/track/66N9OkT3uarJxuzD7iU4BP'},https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,66N9OkT3uarJxuzD7iU4BP,Quit Pannuda,53.0,https://p.scdn.co/mp3-preview/e29b2f2ca8f362a1d5b242be83addb7fa31edc9e?cid=fcec7bdbea3d438f9a0b9158e82b057f,4.0,track,spotify:track:66N9OkT3uarJxuzD7iU4BP,0.51,0.797,6.0,-5.279,0.0,0.234,0.179,0.0,0.443,0.499,76.965,https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,https://api.spotify.com/v1/audio-analysis/66N9OkT3uarJxuzD7iU4BP,4.0,Quit Pannuda,Anirudh Ravichander,Master (Original Motion Picture Soundtrack),2020-03-16
17,256576.0,False,{'isrc': 'INS172000810'},{'spotify': 'https://open.spotify.com/track/66N9OkT3uarJxuzD7iU4BP'},https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,66N9OkT3uarJxuzD7iU4BP,Quit Pannuda,53.0,https://p.scdn.co/mp3-preview/e29b2f2ca8f362a1d5b242be83addb7fa31edc9e?cid=fcec7bdbea3d438f9a0b9158e82b057f,4.0,track,spotify:track:66N9OkT3uarJxuzD7iU4BP,0.51,0.797,6.0,-5.279,0.0,0.234,0.179,0.0,0.443,0.499,76.965,https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,https://api.spotify.com/v1/audio-analysis/66N9OkT3uarJxuzD7iU4BP,4.0,Quit Pannuda,Anirudh Ravichander,Master (Original Motion Picture Soundtrack),2020-03-16
18,256576.0,False,{'isrc': 'INS172000810'},{'spotify': 'https://open.spotify.com/track/66N9OkT3uarJxuzD7iU4BP'},https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,66N9OkT3uarJxuzD7iU4BP,Quit Pannuda,53.0,https://p.scdn.co/mp3-preview/e29b2f2ca8f362a1d5b242be83addb7fa31edc9e?cid=fcec7bdbea3d438f9a0b9158e82b057f,4.0,track,spotify:track:66N9OkT3uarJxuzD7iU4BP,0.51,0.797,6.0,-5.279,0.0,0.234,0.179,0.0,0.443,0.499,76.965,https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,https://api.spotify.com/v1/audio-analysis/66N9OkT3uarJxuzD7iU4BP,4.0,Quit Pannuda,Anirudh Ravichander,Master (Original Motion Picture Soundtrack),2020-03-16
19,256576.0,False,{'isrc': 'INS172000810'},{'spotify': 'https://open.spotify.com/track/66N9OkT3uarJxuzD7iU4BP'},https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,66N9OkT3uarJxuzD7iU4BP,Quit Pannuda,53.0,https://p.scdn.co/mp3-preview/e29b2f2ca8f362a1d5b242be83addb7fa31edc9e?cid=fcec7bdbea3d438f9a0b9158e82b057f,4.0,track,spotify:track:66N9OkT3uarJxuzD7iU4BP,0.51,0.797,6.0,-5.279,0.0,0.234,0.179,0.0,0.443,0.499,76.965,https://api.spotify.com/v1/tracks/66N9OkT3uarJxuzD7iU4BP,https://api.spotify.com/v1/audio-analysis/66N9OkT3uarJxuzD7iU4BP,4.0,Quit Pannuda,Anirudh Ravichander,Master (Original Motion Picture Soundtrack),2020-03-16
