,id,name,popularity,track_number,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artists,album,release_date
0,499rs8fMaltXk2BOlq9P0m,"Ye Chota Nuvvunna (From ""Saaho"") (feat. Tulsi Kumar, Haricharan Seshadri)",54.0,1.0,spotify:track:499rs8fMaltXk2BOlq9P0m,0.725,0.675,-6.225,0.0444,0.116,4.39e-05,0.099,0.641,92.017,"Guru Randhawa, Tulsi Kumar, Haricharan","Ye Chota Nuvvunna (From ""Saaho"")",2019-08-02
1,2FPYJZygSLhD9RdPvEnBha,Nee Choopule,52.0,2.0,spotify:track:2FPYJZygSLhD9RdPvEnBha,0.573,0.35,-8.126,0.026,0.262,1.75e-05,0.0976,0.0386,90.925,"Haricharan, K. S. Chithra",Endukante Premanta,2012-04-29
2,37qEgpLxOJN2jpxo2yEl64,Sundari,39.0,2.0,spotify:track:37qEgpLxOJN2jpxo2yEl64,0.866,0.86,-3.662,0.0552,0.185,8.57e-05,0.0629,0.899,101.982,Jaspreet Jasz,Khaidi No 150,2017-01-05
3,008lRa3qOTxsZE3UeKW8yp,You & Me,46.0,3.0,spotify:track:008lRa3qOTxsZE3UeKW8yp,0.84,0.715,-4.307,0.0836,0.2,0.0145,0.103,0.736,118.988,"Hariharan, Shreya Ghoshal",Khaidi No 150,2017-01-05
4,6lINfLttHSl6Q0uGyCFVsw,Allegro,44.0,5.0,spotify:track:6lINfLttHSl6Q0uGyCFVsw,0.776,0.804,-3.274,0.11,0.0526,0.0131,0.0707,0.76,105.051,"Devi Sri Prasad, Rita",Kanthaswamy (Original Motion Picture Soundtrack),2009-05-07
5,4lGIy8N9aPgfUf04oFH2GS,Excuse Me,51.0,1.0,spotify:track:4lGIy8N9aPgfUf04oFH2GS,0.86,0.811,-4.119,0.288,0.0808,1.24e-05,0.0431,0.783,88.011,"Devi Sri Prasad, Vikram, Suchitra",Kanthaswamy (Original Motion Picture Soundtrack),2009-05-07
6,2zpzbfEexXPmymYNWU1Bha,Yevevo,46.0,5.0,spotify:track:2zpzbfEexXPmymYNWU1Bha,0.621,0.328,-9.358,0.0302,0.752,0.0,0.211,0.405,114.967,"Akhil Akkineni, Jonita Gandhi",Hello!,2017-12-06
7,4mOmWSdTmf6fSAibGWCKp7,Mental Manadhil,63.0,4.0,spotify:track:4mOmWSdTmf6fSAibGWCKp7,0.568,0.886,-7.983,0.081,0.0123,3.4e-05,0.361,0.846,160.054,"A.R. Rahman, Jonita Gandhi",O Kadhal Kanmani (Original Motion Picture Soundtrack),2015-04-07
8,0VhKdIMXZ3INkyDoIyPy5l,"The Naari Naari Song (From ""Made in China"")",50.0,1.0,spotify:track:0VhKdIMXZ3INkyDoIyPy5l,0.704,0.933,-4.165,0.043,0.039,0.0,0.582,0.595,119.984,"Sachin-Jigar, Vishal Dadlani, Jonita Gandhi","The Naari Naari Song (From ""Made in China"")",2019-10-09
9,1L5jOr4vqumGibHTQtVwWq,Maacho,53.0,1.0,spotify:track:1L5jOr4vqumGibHTQtVwWq,0.821,0.55,-7.504,0.0675,0.0134,0.000801,0.122,0.737,128.052,"A.R. Rahman, Sid Sriram, Shweta Mohan",Mersal (Original Motion Picture Soundtrack),2017-08-20
