,id,name,popularity,track_number,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artists,album,release_date
188,3ipHW5XTIQ5CtNWEurXuOI,Davva Davva,17,1,spotify:track:3ipHW5XTIQ5CtNWEurXuOI,0.745,0.703,-5.947,0.044,0.18,0.000312,0.0426,0.66,90.025,Armaan Malik,Rider,3/10/2022
345,4Enr48UdAmBWn6PLgSLsqS,Anaganaga,20,1,spotify:track:4Enr48UdAmBWn6PLgSLsqS,0.753,0.53,-8.851,0.0429,0.409,0.00708,0.134,0.425,130.02,Ambika Sashital,Goodachari,7/23/2018
492,0kz3Bh09Li3wtcreZV3BKM,Follow Follow,22,1,spotify:track:0kz3Bh09Li3wtcreZV3BKM,0.829,0.781,-4.137,0.077,0.317,0.0165,0.0866,0.965,94.017,Devi Sri Prasad,Nannaku Prematho (Original Motion Picture Soundtrack),12/25/2015
406,0MqVQMkcEdJQ2cnFOOdrSk,Koova,29,1,spotify:track:0MqVQMkcEdJQ2cnFOOdrSk,0.94,0.696,-5.991,0.113,0.0551,6.85E-06,0.612,0.782,126.923,"Karthik, Chinna Ponnu",Ondraga Originals,1/14/2018
425,0LMvYrD1JpHavQcyRoSaqZ,Beat In My Heart,33,1,spotify:track:0LMvYrD1JpHavQcyRoSaqZ,0.706,0.832,-5.26,0.075,0.00711,3.77E-05,0.0863,0.565,128.598,"Nagoor Babu, Gayathri",Gulabi,2/19/1995
136,5E77whCdMnf9lYf1dxBm6f,Damn Damn,34,1,spotify:track:5E77whCdMnf9lYf1dxBm6f,0.859,0.649,-4.747,0.152,0.224,0,0.191,0.634,94.006,"M.M. Manasi, Sherin Shahana",Vanamagan (Original Motion Picture Soundtrack),4/22/2017
281,3WFhdtvbXKXfRSJ2cPgdph,Yaen Ennai,34,1,spotify:track:3WFhdtvbXKXfRSJ2cPgdph,0.841,0.752,-5.986,0.0758,0.0372,0,0.707,0.653,122.999,"Harris Jayaraj, Sunitha Sarathy, Kharesma Ravichandran",Yennai Arindhaal (Original Motion Picture Soundtrack),1/4/2015
324,33Hsa0oH5W62aIfc8tT0uT,Kalala Kadhala,34,1,spotify:track:33Hsa0oH5W62aIfc8tT0uT,0.6,0.508,-7.493,0.0301,0.867,0.0359,0.11,0.449,114.988,Harini Ivvaturi,Amar Akbar Antony,11/12/2018
349,4tapO1vYD4YLoUCkgDGwab,You Are My Heart Beat,34,1,spotify:track:4tapO1vYD4YLoUCkgDGwab,0.742,0.499,-7.797,0.0403,0.551,0.000206,0.0792,0.778,124.951,Anurag Kulkarni,Iddari Lokam Okate,10/14/2019
225,3fdlG1p9oIxnUx5DsF8PZq,Arakkiye,35,1,spotify:track:3fdlG1p9oIxnUx5DsF8PZq,0.685,0.643,-7.204,0.0646,0.214,0.000724,0.183,0.275,107.979,"Anivee, Amitash, Jonita Gandhi",Arakkiye,2/12/2021
407,0PZmd2nRD30Yq6ZutVUq0F,Ulaviravu,35,1,spotify:track:0PZmd2nRD30Yq6ZutVUq0F,0.739,0.432,-11.12,0.0297,0.342,0.00595,0.0793,0.428,109.966,Karthik,"Ulaviravu (From ""Ondraga Originals"")",2/14/2018
493,4oj85t0i15ghedqRDl4qSR,Shiva Shambo (Thodasa Pyar),36,1,spotify:track:4oj85t0i15ghedqRDl4qSR,0.843,0.634,-10.746,0.143,0.0439,0.00118,0.167,0.598,112.033,Devi Sri Prasad,Adhurs,12/5/2009
180,5W4pohpSOIHfD2GRMLPVKx,Boom Boom,37,1,spotify:track:5W4pohpSOIHfD2GRMLPVKx,0.79,0.578,-4.79,0.0423,0.0622,6.95E-05,0.309,0.528,104.006,Nikhita Gandhi,Spyder (Telugu),9/9/2017
348,0ctKfa1O6O4UueGLhqKJB3,You Are My Heart Beat - Telugu,37,1,spotify:track:0ctKfa1O6O4UueGLhqKJB3,0.742,0.499,-7.797,0.0403,0.551,0.000206,0.0792,0.778,124.951,"Anurag Kulkarni, Mickey J. Meyer",Iddari Lokam Okate,12/13/2019
270,1f0YhW497uhA3NKe5S3fkA,Jabilli Nuvve,38,1,spotify:track:1f0YhW497uhA3NKe5S3fkA,0.838,0.72,-8.892,0.0376,0.308,0.000426,0.229,0.933,120.038,Ranjith Govind,Ramayya Vasthavayya,9/21/2013
326,6BBW4MBbbqRGIugKUzmG6P,Zara Zara X Cradles,41,1,spotify:track:6BBW4MBbbqRGIugKUzmG6P,0.733,0.666,-5.207,0.0379,0.628,0.482,0.139,0.535,160.051,Naim Almas,Zara Zara X Cradles,12/31/2021
367,7yLBq1QePwcxPstePzca1I,Vizhi Moodi Yosithal,41,1,spotify:track:7yLBq1QePwcxPstePzca1I,0.739,0.366,-9.337,0.0547,0.115,0,0.0882,0.605,90.936,"Sathursan, Varothayan, Ab1shanth, Rajithan",Vizhi Moodi Yosithal,2/27/2022
408,5cMXwuQZ69FqGKtTmBc8ox,"Bodhai Kodhai (From ""Ondraga Originals"")",41,1,spotify:track:5cMXwuQZ69FqGKtTmBc8ox,0.748,0.357,-8.795,0.14,0.581,0,0.139,0.412,141.897,"Sanjith Hegde, Karthik","Bodhai Kodhai (From ""Ondraga Originals"")",6/15/2018
465,40Z8bpGJPxjClb4NK8j0LJ,Who R U,43,1,spotify:track:40Z8bpGJPxjClb4NK8j0LJ,0.707,0.948,-3.907,0.0723,0.0572,0.0538,0.879,0.78,138.035,Dsp,No 1 Nenokkadine,8/1/2014
189,5T4MUhBDobvQSx4DWSbkZo,"Davva Davva (From ""Rider"")",44,1,spotify:track:5T4MUhBDobvQSx4DWSbkZo,0.745,0.703,-5.947,0.044,0.18,0.000312,0.0426,0.66,90.025,"Armaan Malik, Arjun Janya","Davva Davva (From ""Rider"")",10/16/2021
327,3B7eDo0JA8rkMRsPa9n7rq,Vaseegara / Zara Zara Mashup,44,1,spotify:track:3B7eDo0JA8rkMRsPa9n7rq,0.833,0.193,-10.131,0.275,0.709,2.26E-05,0.0657,0.674,129.927,Jonita Gandhi,Vaseegara / Zara Zara Mashup - Single,2/20/2020
340,4pCRP5zNeDHLRh7zmPJOtx,Noppi Noppi,46,1,spotify:track:4pCRP5zNeDHLRh7zmPJOtx,0.77,0.865,-5.025,0.0708,0.053,0.000298,0.497,0.614,99.021,Naveen,Pokiri,4/8/2006
143,2fsRouU9GgRh1jeObvYhBh,Mudhal Mazhai (From Bheema),47,1,spotify:track:2fsRouU9GgRh1jeObvYhBh,0.801,0.513,-7.826,0.0365,0.231,0.00855,0.0735,0.581,113.988,"Prasanna.R, Hariharan, Mahathi",Singer Special Hariharan and K.J.Jesudas,5/13/2013
179,3na6VGHw5UrfEUHeHdAN6m,Pilla Picture Perfect,48,1,spotify:track:3na6VGHw5UrfEUHeHdAN6m,0.806,0.736,-5.219,0.0525,0.264,0.00788,0.118,0.939,122.992,Nikhita Gandhi,Ranarangam,7/29/2019
418,170FDLIeaq89cMUbj5YDnH,Dhoothu Varuma,48,1,spotify:track:170FDLIeaq89cMUbj5YDnH,0.645,0.947,-4.441,0.0788,0.0883,2.23E-06,0.216,0.69,147.947,"Sunitha Sarathy, Febi Mani",Kaakha Kaakha (Original Motion Picture Soundtrack),9/27/2003
8,0VhKdIMXZ3INkyDoIyPy5l,"The Naari Naari Song (From ""Made in China"")",50,1,spotify:track:0VhKdIMXZ3INkyDoIyPy5l,0.704,0.933,-4.165,0.043,0.039,0,0.582,0.595,119.984,"Sachin-Jigar, Vishal Dadlani, Jonita Gandhi","The Naari Naari Song (From ""Made in China"")",10/9/2019
5,4lGIy8N9aPgfUf04oFH2GS,Excuse Me,51,1,spotify:track:4lGIy8N9aPgfUf04oFH2GS,0.86,0.811,-4.119,0.288,0.0808,1.24E-05,0.0431,0.783,88.011,"Devi Sri Prasad, Vikram, Suchitra",Kanthaswamy (Original Motion Picture Soundtrack),5/7/2009
378,6NCMhWthZdWGbG3ce0Muek,Oka Maru,51,1,spotify:track:6NCMhWthZdWGbG3ce0Muek,0.785,0.683,-7.406,0.0325,0.163,6.08E-05,0.262,0.862,111.97,Karthik,Ghajini,10/26/2005
172,5hA3rXEanTpROJ2thUL6vw,Halena,52,1,spotify:track:5hA3rXEanTpROJ2thUL6vw,0.76,0.786,-3.776,0.0464,0.19,0,0.0974,0.925,147.949,"Harris Jayaraj, Christopher Stanley, Abhay Jodhpurkar, Ujjayinee Roy",Iru Mugan (Original Motion Picture Soundtrack),8/2/2016
201,41IQYtoxWhrxC6jKyyxHuK,So So Ga,52,1,spotify:track:41IQYtoxWhrxC6jKyyxHuK,0.736,0.618,-7.502,0.0604,0.631,6.80E-06,0.265,0.91,104.962,Sid Sriram,Manchi Rojulochaie,11/1/2021
395,15tCasit297c9SsbU3R95d,"Mind Block (From ""Sarileru Neekevvaru"")",52,1,spotify:track:15tCasit297c9SsbU3R95d,0.922,0.921,-5.026,0.216,0.645,0.00536,0.0972,0.73,101.986,"Blaaze, Ranina Reddy, Devi Sri Prasad","Mind Block (From ""Sarileru Neekevvaru"")",12/2/2019
413,6FJamQryHRITSdGXQFsWyg,Kanne Kanne - Madras Gig,52,1,spotify:track:6FJamQryHRITSdGXQFsWyg,0.736,0.76,-4.929,0.0533,0.198,0,0.121,0.491,90.044,"Leon James, Jonita Gandhi",Kanne Kanne (Madras Gig),7/11/2018
9,1L5jOr4vqumGibHTQtVwWq,Maacho,53,1,spotify:track:1L5jOr4vqumGibHTQtVwWq,0.821,0.55,-7.504,0.0675,0.0134,0.000801,0.122,0.737,128.052,"A.R. Rahman, Sid Sriram, Shweta Mohan",Mersal (Original Motion Picture Soundtrack),8/20/2017
