Track Name,Artists,Album,URI,Release Date
Ye Chota Nuvvunna ,"Guru Randhawa, Tulsi Kumar, Haricharan","Ye Chota Nuvvunna (From ""Saaho"")",499rs8fMaltXk2BOlq9P0m,2019-08-02
Nee Choopule,"Haricharan, K. S. Chithra",Endukante Premanta,2FPYJZygSLhD9RdPvEnBha,2012-04-29
Sundari,Jaspreet Jasz,Khaidi No 150,37qEgpLxOJN2jpxo2yEl64,2017-01-05
You & Me,"Hariharan, Shreya Ghoshal",Khaidi No 150,008lRa3qOTxsZE3UeKW8yp,2017-01-05
Allegro,"Devi Sri Prasad, Rita",Kanthaswamy (Original Motion Picture Soundtrack),6lINfLttHSl6Q0uGyCFVsw,2009-05-07
Excuse Me,"Devi Sri Prasad, Vikram, Suchitra",Kanthaswamy (Original Motion Picture Soundtrack),4lGIy8N9aPgfUf04oFH2GS,2009-05-07
Yevevo,"Akhil Akkineni, Jonita Gandhi",Hello!,2zpzbfEexXPmymYNWU1Bha,2017-12-06
Mental Manadhil,"A.R. Rahman, Jonita Gandhi",O Kadhal Kanmani (Original Motion Picture Soundtrack),4mOmWSdTmf6fSAibGWCKp7,2015-04-07
The Naari Naari Song ,"Sachin-Jigar, Vishal Dadlani, Jonita Gandhi","The Naari Naari Song (From ""Made in China"")",0VhKdIMXZ3INkyDoIyPy5l,2019-10-09
Maacho,"A.R. Rahman, Sid Sriram, Shweta Mohan",Mersal (Original Motion Picture Soundtrack),1L5jOr4vqumGibHTQtVwWq,2017-08-20
Manasulone Nilichipoke,Chinmayi,Varudu Kaavalenu,2ZsCyXSXq6MzF8ErgKsY52,2021-10-25
Pataas Pilla,"Sricharan Pakala, Anirudh Ravichander",DJ Tillu,7ox1JFNmfgRtUBY1kx2aIj,2022-01-24
Quit Pannuda,Anirudh Ravichander,Master (Original Motion Picture Soundtrack),66N9OkT3uarJxuzD7iU4BP,2020-03-16
Bhavani Theme - Background Score,Anirudh Ravichander,Master (Original Background Score),4SwrKUWClv1t4HqK5SeMCo,2021-02-08
"Yaanji - From ""Vikram Vedha""","Sam C.S., Anirudh Ravichander, Shakthisree Gopalan","Yaanji (From ""Vikram Vedha"")",6EB454nVg2u6sbeCvWAPej,2017-06-12
Oh Penne,"Anirudh Ravichander, Vishal Dadlani",Vanakkam Chennai (Original Motion Picture Soundtrack),1zAkNzJZVPrWDCnowb1vpZ,2013-07-31
Po Indru Neeyaga,"Anirudh Ravichander, Dhanush",Velai Illa Pattadhaari (Original Motion Picture Soundtrack),7fttjqzmvgvpRQoOzyYng3,2016-01-14
Vaathi Coming,"Anirudh Ravichander, Gana Balachandar",Master (Original Motion Picture Soundtrack),2BcPFQ7nrtUObgAs72xaac,2020-03-16
Beast Announcement Theme,Anirudh Ravichander,"Beast Announcement Theme (From ""Beast"")",6jiMGpaN4Sx7xYlSQqfjnz,2022-02-23
Gaali Vaaluga,Anirudh Ravichander,Agnyaathavaasi,5pOY1Vg2TIIbVBfR6yAg0C,2017-11-07
Hoyna Hoyna,"Anirudh Ravichander, Inno Genga",Gang Leader (Original Motion Picture Soundtrack),7mNQwVYgoB3mtjkjCKsbXM,2019-09-05
Senjitaley,Anirudh Ravichander,Remo (Original Motion Picture Soundtrack),2RB3zzgxWc2RRBaJOkSEka,2016-09-05
Why This Kolaveri Di? - The Soup of Love,"Anirudh Ravichander, Dhanush",Why This Kolaveri Di? (The Soup of Love),2VGs7EmaIxq96Wcog6DQOc,2011-11-16
Chellamma ,"Anirudh Ravichander, Jonita Gandhi","Chellamma (From ""Doctor"")",0fGclndst25Qqy8j4u5De5,2020-07-16
Oru Paathi Kadhavu,"Haricharan,Vandana Srinivasan",Thaandavam,spotify:local:Haricharan%2CVandana+Srinivasan:Thaandavam:Oru+Paathi+Kadhavu:335,None
Oh Oh - The First Love of Tamizh,"Anirudh Ravichander, Dhanush, Nikhita Gandhi",Thangamagan (Original Motion Picture Soundtrack),3B4Wf3Fo11BXSuVPi1dtDO,2015-11-27
Senthoora,"D. Imman, Luksimi Sivaneswaralingam",Bogan (Original Motion Picture Soundtrack),6LtQGnMSsQ859t930Anbyk,2016-12-03
Damn Damn,"M.M. Manasi, Sherin Shahana",Vanamagan (Original Motion Picture Soundtrack),5E77whCdMnf9lYf1dxBm6f,2017-04-22
Yemma Yea Alagamma,"Bombay Jayashri, Haricharan",Vanamagan (Original Motion Picture Soundtrack),3vaYzaOkZuxG7R4J3jkwr6,2017-04-22
Stylish Thamizhachi,"Yuvan Shankar Raja, M.M. Manasi, Rubba Bend.Psycho Unit",Arrambam (Original Motion Picture Soundtrack),3SwCB7tN5NxOrXURK1cx2A,2013-09-23
Don't You Mess With Me,"Anirudh Ravichander, Shruti Haasan, Shakthisree Gopalan",Vedalam (Original Motion Picture Soundtrack),2Au8e2PqCSiCo1BC1AdEeZ,2015-10-16
Oru Paadhi Kadhavu,Arjun Shiv Shankar,Oru Paadhi Kadhavu,6RzlyKWq3HhtQBCIshvYY1,2021-11-07
Oru Paathi Kadhavu,"Haricharan,Vandana Srinivasan",Thandavam,spotify:local:Haricharan%2CVandana+Srinivasan:Thandavam:Oru+Paathi+Kadhavu+-+isaimini.com:335,None
Oru Paadhi Kadhavu,"Thushani Pillai, Jerone B",Unplugged Series,30U1ndQmBzpE6Qqq5lS5Tz,2021-05-14
Mudhal Mazhai,"Prasanna.R, Hariharan, Mahathi",Vikram Hits,2SpXWvC0VX6g14U5dXRFMP,2013-05-29
Mudhal Mazhai,"Prasanna.R, Hariharan, Mahathi",Singer Special Hariharan and K.J.Jesudas,2fsRouU9GgRh1jeObvYhBh,2013-05-13
Maari Thara Local - Here Comes Maari,"Anirudh Ravichander, Dhanush",Maari (Original Motion Picture Soundtrack),7w4kFO2slzHCu1qEOMaPkl,2015-06-07
Why This Kolaveri Di? - The Soup of Love,"Anirudh Ravichander, Dhanush",3 (Original Motion Picture Soundtrack),5AjYjRsiIPAKjRP182ocKB,2011-12-23
Maruvaarthai,"Darbuka Siva, Sid Sriram",Enai Noki Paayum Thota (Original Motion Picture Soundtrack),6A79kP682lpUXnwcl5575F,2017-10-18
Enna Solla - The New Life of Tamizh,"Anirudh Ravichander, Shweta Mohan",Thangamagan (Original Motion Picture Soundtrack),2109dBho14Lqh2wr8goqAP,2015-11-27
What a Karavaad,"Anirudh Ravichander, Dhanush",Velai Illa Pattadhaari (Original Motion Picture Soundtrack),5EjVRbQFSLYyeNLlO7qGLY,2016-01-14
Idhazhin Oram - The Innocence of Love,"Anirudh Ravichander, Ajesh",3 (Original Motion Picture Soundtrack),6NwEpX2JUWHVKWfDDfcqC4,2011-12-23
Ayyayo,"G. V. Prakash, S. P. Balasubrahmanyam, S.P.Charan, Prashanthini",Aadukalam (Original Motion Picture Soundtrack),5DYfTyqUNBmOnQtljQjYk2,2010-11-08
Ey Inge Paaru,Anirudh Ravichander,Velai Illa Pattadhaari (Original Motion Picture Soundtrack),1J5lU9Mndqr74V7yVT8vgm,2016-01-14
Naan Dhaan Da Mass,"Santhosh Narayanan, ofRO, Arivu",Jagame Thandhiram (Original Motion Picture Soundtrack),5A6cWSeDqJqMwt2ylrVHko,2021-06-07
Don'u Don'u Don'u - The Don's Romance,"Anirudh Ravichander, Alisha Thomas",Maari (Original Motion Picture Soundtrack),2kbxGCtWSV0f1ON720Bd4O,2015-06-07
Thangamey,Anirudh Ravichander,Naanum Rowdy Dhaan (Original Motion Picture Soundtrack),62KDpF0Hv7KJLZrrKXsz8r,2015-10-14
Kalyana Vayasu,Anirudh Ravichander,Kolamavu Kokila,09BF3kcZeMEG4Wzu0C4M9X,2018-07-19
Halena,"Harris Jayaraj, Christopher Stanley, Abhay Jodhpurkar, Ujjayinee Roy",Iru Mugan (Original Motion Picture Soundtrack),5hA3rXEanTpROJ2thUL6vw,2016-08-02
Neeve,Yazin Nizar,Neeve,5NObORkzAytZ9tmAyGXaRP,2016-10-21
