Track Name	Artists	Album	URI	Release Date
All In	Monsta X	The Clan Pt. 1 <LOST>	spotify:track:72gnMfNZSb5oCrYlXWvtyc	2016-05-18
Find you	Monsta X	FOLLOW - FIND YOU	spotify:track:0vewmpnpkzr24oImA5vLaI	2019-10-28
Euphoria	BTS	Love Yourself 結 'Answer'	spotify:track:5YMXGBD6vcYP7IolemyLtK	2018-08-24
Can't You See Me? (世界が燃えてしまった夜、僕たちは...) - Japanese Ver.	TOMORROW X TOGETHER	DRAMA	spotify:track:1YciuKsxEUfXpKRSYZRDmV	2020-08-18
Sakkarakatti	Hiphop Tamizha	Meesaya Murukku (Original Motion Picture Soundtrack)	spotify:track:1PaxAUxLEVpi75l0nDtwu1	2017-07-28
Butterfly	BTS	The Most Beautiful Moment in Life Pt.2	spotify:track:3bjg5cbmuwDoS7e2dAWyRG	2015-11-30
Begin	BTS	Wings	spotify:track:0bGJHUPR6ems9tzIljlPFR	2016-10-10
Elevator	JONGHYUN	Monthly Live Connection Track 1	spotify:track:5xCveoIXzku8L8eQ7F3bFa	2015-10-14
Jamais Vu	BTS	MAP OF THE SOUL : PERSONA	spotify:track:7cgWWkpUaS94xoWI8lMGiI	2019-04-12
LAST WALTZ	TWICE	Formula of Love: O+T=<3	spotify:track:39kH6C2twlYjyssIW02sbr	2021-11-12
Ninnele	Anurag Kulkarni, Shreya Ghoshal	Radhe Shyam	spotify:track:7uo3wgB8We99kdcJpKDiq9	2022-03-12
CRAZY DOG (feat.San E)	YEZI	CRAZY DOG	spotify:track:5IWFa71wgZfLr5xAY4Ezth	2015-12-11
Dionysus	BTS	MAP OF THE SOUL : PERSONA	spotify:track:2Wkm4JBcIV2uSuu4qlbqFN	2019-04-12
Outro: Her	BTS	Love Yourself 承 'Her'	spotify:track:559U79ujLJSP6OUyH2nGLl	2017-09-18
0X1=LOVESONG (I Know I Love You) feat. Seori (Emocore Mix)	TOMORROW X TOGETHER	The Chaos Chapter: FIGHT OR ESCAPE	spotify:track:6XtPOQQmTO5hLdaD8ICyEU	2021-08-17
Hold Me Tight	BTS	The Most Beautiful Moment in Life Pt.1	spotify:track:2SKBwYW23iHoB7CrYSeyC9	2015-04-29
Run	BTS	The Most Beautiful Moment in Life Pt.2	spotify:track:3G1aAxWS2Nd17FQs4PWV6X	2015-11-30
Underwater	Monsta X	Take.1 Are You There?	spotify:track:0IeRuCKihaeLK7QQEcbliI	2018-10-22
Fan	Epik High	Remapping the Human Soul	spotify:track:4X0IXobYpLPiAN2ilOtMnM	2007-01-24
First Love	BTS	Wings	spotify:track:1UeVC9gDeHxwlWOQyQJerj	2016-10-10
Error	VIXX	Error	spotify:track:1vxAhQaTflNq4HBf1WkzyG	2014-10-14
In Silence	Janet Suhh	It's Okay to Not Be Okay (Original Television Soundtrack) Special Track vol.2	spotify:track:2vZZljISFmbnd2SlMBdEAH	2020-07-18
The Truth Untold (feat. Steve Aoki)	BTS, Steve Aoki	Love Yourself 轉 'Tear'	spotify:track:7DEKa5Z7Cl8s3Y7imb88OM	2018-05-18
Stay Alive (Prod. SUGA of BTS)	Jung Kook	Stay Alive (Prod. SUGA of BTS)	spotify:track:7CAdT0HdiQNlt1C7xk2hep	2022-02-11
舞い落ちる花びら(Fallin' Flower)	SEVENTEEN	舞い落ちる花びら (Fallin' Flower)	spotify:track:6MC0anRfGPzSWrvybgsY7O	2020-03-31
Magic Shop	BTS	Love Yourself 轉 'Tear'	spotify:track:5MTGPkmiUuud9NkA0sl2nI	2018-05-18
Poi Vazhva	Santhosh Narayanan, Vijaynarain	Manithan (Original Motion Picture Soundtrack)	spotify:track:3JHqj3WfflTssLpj1Ymsw2	2016-04-08
Jodi Nilave - The Pain of Tamizh	Anirudh Ravichander, Dhanush, Shweta Mohan	Thangamagan (Original Motion Picture Soundtrack)	spotify:track:55OWBVrrcsWEqs56IG8YIw	2015-11-27
Ik Vaari Aa	Pritam, Arijit Singh	Raabta	spotify:track:7fyiYhn7STpHvT5g0lbncC	2017-06-03
Arjunar Villu	Vidyasagar, Sukhwinder Singh	Ghilli	spotify:track:6wkNMxKNAVqWAX74oekg8a	2004-03-17
Cheppave Chirugali	Udit Narayan, Sujatha	Okkadu	spotify:track:0k0isUYnsgYBKjJQykg3uN	2003-01-17
DDU-DU DDU-DU - Remix	BLACKPINK	KILL THIS LOVE	spotify:track:4sz6sircK4Jn2SZSHgd96h	2019-04-05
Main Ishq Mein Hoon	Manan Bhardwaj, Harjot Kaur, Kumaar	Radhe Shyam	spotify:track:4B4hRyO842T5th9ucxPQGJ	2022-03-12
Oh My	Monsta X	Take.1 Are You There?	spotify:track:7aee43cpxAZ9CZysyLpUJC	2018-10-22
Guess Who	Monsta X	Fatal Love	spotify:track:180VPsis7DEfxa6uoA3FhP	2020-11-02
Don't (feat. RM)	eAeon, RM	Fragile	spotify:track:6KE3Fs6LMzi4hJI3eFqyLC	2021-04-30
Myself	Monsta X	Take.1 Are You There?	spotify:track:0ARf7I9vLsI5yAOFUQbRH9	2018-10-22
En Kadhal Solla	Yuvan Shankar Raja, Tanvi Shah	Paiya (Original Motion Picture Soundtrack)	spotify:track:1vzxYeTJ9dTtyJXkNWVJDZ	2010-11-22
Piravi	Vaikom Vijayalakshmi	Masss (Original Motion Picture Soundtrack)	spotify:track:4uNEPcGILkuU2RhIQ9yPgF	2015-05-08
Lambiyaan Si Judaiyaan	Pritam, Arijit Singh, Shadab, Altamash Faridi	Raabta	spotify:track:5eycUcX0HZsZjSKPD58pF8	2017-06-03
Louder than bombs	BTS	MAP OF THE SOUL : 7	spotify:track:4Aw8n6r2vuU0KUo1a2nftp	2020-02-21
Play It Cool	Monsta X, Steve Aoki	Take.2 We Are Here.	spotify:track:0gxkqxGiLg1ylKzgToCcHY	2019-02-18
ON	BTS	MAP OF THE SOUL : 7	spotify:track:0fZRNhPJ4AGmwY7rkpdbqK	2020-02-21
Awake	BTS	Wings	spotify:track:3gxNkvcP8scSzL6mGznTn3	2016-10-10
Outro: Tear	BTS	Love Yourself 轉 'Tear'	spotify:track:27yKZtF7WLdmlLoW8qMssq	2018-05-18
GHOST	DreamNote	Dreams Alive	spotify:track:73ND9EgLxCG4abSmc4z9ww	2021-10-26
I'M OK	iKON	NEW KIDS REPACKAGE : THE NEW KIDS	spotify:track:3j14qtAI9kueKAxtjYYjsZ	2019-01-07
Bandook Meri Laila (From "A Gentleman") (feat. Raftaar, Sidharth Malhotra)	Ash King, Jigar Saraiya, Sachin-Jigar, Raftaar, Sidharth Malhotra	Bandook Meri Laila (From "A Gentleman")	spotify:track:3eDsxtliwduBeC3UAdOMG5	2017-08-16
Maria	Hwa Sa	María	spotify:track:0ZeGfEAL5Rl4pd5LZBGuEK	2020-06-29
Enna Solla - The New Life of Tamizh	Anirudh Ravichander, Shweta Mohan	Thangamagan (Original Motion Picture Soundtrack)	spotify:track:2109dBho14Lqh2wr8goqAP	2015-11-27
Follow	Monsta X	FOLLOW - FIND YOU	spotify:track:7ri0aUbwDcItOnQbywEGU5	2019-10-28
Party with the Pei	Kharesma Ravichandran, Hiphop Tamizha	Aranmanai 2 - EP (Original Motion Picture Soundtrack)	spotify:track:1QzbBS78dbKMmM25mEuz24	2015-12-27
Drunk-Dazed	ENHYPEN	BORDER : CARNIVAL	spotify:track:1wcr8DjnN59Awev8nnKpQ4	2021-04-26
U R	Monsta X	FOLLOW - FIND YOU	spotify:track:7LxSZnr05dpNIarvdHLNDA	2019-10-28
Incomparable	Monsta X	SHINE FOREVER	spotify:track:1z7cjsOaKkcEnNMVkFS3fU	2017-06-19
Oi	Monsta X	SHINE FOREVER	spotify:track:0tzxvyr4d9ojMfwFsdMyAR	2017-06-19
Burn it up	Monsta X	FOLLOW - FIND YOU	spotify:track:5wiupcIJ9TBCglGF8btf8Z	2019-10-28
Say My Name	ATEEZ	TREASURE EP.2: Zero To One	spotify:track:2UP7KnRSvc4taXbjOoSX0f	2019-01-15
WHY	Hwa Sa	María	spotify:track:6QPa2ZmJsYLzTrQjG5FZIn	2020-06-29
Eena Meena Teeka	Uthara Unnikrishnan, G. V. Prakash	Theri (Original Motion Picture Soundtrack)	spotify:track:6G8XkhDuYSF6JzlLSxaLhU	2016-03-20
Kandaangi Kandaangi	Vijay, Shreya Ghoshal	Jilla (Original Music Picture Soundtrack)	spotify:track:5qGrY4iAi05Ej1yjfUUhNe	2013-12-21
Maatikichu	V.M. Mahalingam	Meesaya Murukku (Original Motion Picture Soundtrack)	spotify:track:402tkgRtRsBEv9roh8Frhk	2017-07-28
Dub Theri Step	Arunraja Kamaraj	Theri (Original Motion Picture Soundtrack)	spotify:track:3ZUAuDavYW0KrYf1Q3fBDP	2016-03-20
What's Up Danger (with Black Caviar)	Blackway, Black Caviar	Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)	spotify:track:5zsHmE2gO3RefVsPyw2e3T	2018-12-14
Mirror	Monsta X	FOLLOW - FIND YOU	spotify:track:1VKNOj6bysUgVMe6tEEdCg	2019-10-28
See You Again	Monsta X	FOLLOW - FIND YOU	spotify:track:76rHDnBFEZ7J8WbyXznQSI	2019-10-28
Rudra's Symphony	Hiphop Tamizha	Imaikkaa Nodigal (Original Motion Picture Soundtrack)	spotify:track:4Yj3u1WI3p43o09d0IEp3Y	2018-06-27
Shadow	시연 &amp; 다미 (드림캐쳐)	Dark Hole OST Part.2	spotify:track:4hwvdd18z2s2q8EWYQPQjP	2021-05-14
FIRST	EVERGLOW	Last Melody	spotify:track:021L6LlBBtr34BmFRHd9Ic	2021-05-25
Nobody Else	Monsta X	Fatal Love	spotify:track:68qPGupXKOqzykZVJrWEpe	2020-11-02
seoul (prod. HONNE)	RM	mono.	spotify:track:4VcKLbECzwOQTYe3Sut6xJ	2018-10-22
badbye	RM, eAeon	mono.	spotify:track:7L8JKDh4yB5rCcg2Rp4yvz	2018-10-22
Wildfire	Monsta X	SHAPE OF LOVE	spotify:track:31swab24TD27FuYp62SWg6	2022-04-26
Love Panna Uttranum Dad Song	Anirudh Ravichander	Paava Kadhaigal (Original Motion Picture Soundtrack)	spotify:track:6IBrB8ScGVOaxON7kYxQoc	2021-01-18
uhgood	RM	mono.	spotify:track:5vI1exL3zFhqFWDSL9fq5H	2018-10-22
BTS Cypher 4	BTS	Wings	spotify:track:4cTSnpyaIR1qGaTOLJunDM	2016-10-10
GAMBLER	Monsta X	One of a Kind	spotify:track:1Zsy7gMUcHDhxC0bbyZmC2	2021-06-01
Rotate	Monsta X	One of a Kind	spotify:track:1QSjtZowSRAe2PTrhuqNBc	2021-06-01
Addicted	Monsta X	One of a Kind	spotify:track:1BBNX3VBikQkDdNMJ201kk	2021-06-01
Secrets	Monsta X	One of a Kind	spotify:track:6E9VBOX4VOf0z6HSam491R	2021-06-01
Moon	BTS	MAP OF THE SOUL : 7	spotify:track:6KhAXXgDtEEahVzATvFNcn	2020-02-21
Addicted	PIXY	Fairyforest : Temptation	spotify:track:2ffVhWaUuu5IRaoogJOGFz	2021-10-07
Horizon	ATEEZ	TREASURE EPILOGUE : Action To Answer	spotify:track:7aq8t9D82PJuqH7TFT4W6O	2020-01-06
We are Bulletproof : the Eternal	BTS	MAP OF THE SOUL : 7	spotify:track:133ocfbXXG4HTk76qgSeUb	2020-02-21
Blue & Grey	BTS	BE	spotify:track:7Ki0hse0IfXEcXUlpyECbJ	2020-11-20
Mercy	Monsta X	NO LIMIT	spotify:track:3k9tiwbGNmznma8hCuLMhp	2021-11-19
Happier Than Ever	Billie Eilish	Happier Than Ever	spotify:track:4RVwu0g32PAqgUiJoXsdF8	2021-07-30
Epiphany	BTS	Love Yourself 結 'Answer'	spotify:track:6L88EH68XwlaXwvChlTS41	2018-08-24
I'm Fine	BTS	Love Yourself 結 'Answer'	spotify:track:7HYJqAMbKDJYRyEfUGOCBB	2018-08-24
Stay	BTS	BE	spotify:track:0TdWVbcerMAcvljXrl9gpG	2020-11-20
Answer : Love Myself	BTS	Love Yourself 結 'Answer'	spotify:track:2X3UgVLSA4wYriGIQyYmMA	2018-08-24
Hymn for the Weekend	Coldplay	A Head Full of Dreams	spotify:track:3RiPr603aXAoi4GHyXx0uy	2015-12-04
Choosa Choosa	Padmalatha, Sniggy	Dhruva	spotify:track:0iIvZ25h16B9DhjptYp8hK	2016-11-09
Neethoney Dance	Hiphop Tamizha, Nikitha Gandhi	Dhruva	spotify:track:2kFaEZJM9coKfesI5LOaPJ	2016-11-09
